Anchor 1,Anchor 2,Anchor 3,Anchor 4,Phone / Tx Power,Beacon UUID,Distance
81,85,86,200,-10,0xa123,G8
72,88,86,200,-7,0xb123,G8
81,82,85,200,-10,0xa123,G8
83,83,78,200,-7,0xb123,G8
81,89,84,200,-10,0xa123,G8
72,85,86,200,-7,0xb123,G8
71,80,84,200,-10,0xa123,G8
81,84,78,200,-7,0xb123,G8
75,84,84,200,-10,0xa123,G8
78,84,79,200,-7,0xb123,G8
77,85,79,200,-10,0xa123,G8
81,86,85,200,-7,0xb123,G8
79,82,80,200,-10,0xa123,G8
84,88,83,200,-7,0xb123,G8
75,80,81,200,-10,0xa123,G8
82,85,85,200,-7,0xb123,G8
73,81,88,200,-10,0xa123,G8
78,86,82,200,-7,0xb123,G8
79,84,77,200,-10,0xa123,G8
68,86,88,200,-7,0xb123,G8
80,87,82,200,-10,0xa123,G8
76,87,89,200,-7,0xb123,G8
76,82,83,200,-10,0xa123,G8
81,75,78,200,-7,0xb123,G8
74,86,88,200,-10,0xa123,G8
82,87,75,200,-7,0xb123,G8
80,86,85,200,-10,0xa123,G8
81,83,82,200,-7,0xb123,G8
81,89,90,200,-10,0xa123,G8
82,87,82,200,-7,0xb123,G8
75,83,85,200,-10,0xa123,G8
80,80,76,200,-7,0xb123,G8
82,85,76,200,-10,0xa123,G8
69,78,72,200,-7,0xb123,G8
77,81,88,200,-10,0xa123,G8
80,79,72,200,-7,0xb123,G8
82,81,74,200,-10,0xa123,G8
72,88,70,200,-7,0xb123,G8
78,84,85,200,-10,0xa123,G8
75,80,84,200,-7,0xb123,G8
80,85,81,200,-10,0xa123,G8
74,81,82,200,-7,0xb123,G8
82,88,90,200,-10,0xa123,G8
79,83,85,200,-7,0xb123,G8
81,88,89,200,-10,0xa123,G8
77,84,81,200,-7,0xb123,G8
73,84,83,200,-10,0xa123,G8
75,86,79,200,-7,0xb123,G8
75,90,83,200,-10,0xa123,G8
73,83,75,200,-7,0xb123,G8
75,85,86,200,-10,0xa123,G8
79,86,84,200,-7,0xb123,G8
73,84,87,200,-10,0xa123,G8
81,85,84,200,-7,0xb123,G8
77,84,86,200,-10,0xa123,G8
82,89,77,200,-7,0xb123,G8
76,86,82,200,-10,0xa123,G8
72,86,81,200,-7,0xb123,G8
79,86,82,200,-10,0xa123,G8
81,79,77,200,-7,0xb123,G8
74,86,83,200,-10,0xa123,G8
77,86,81,200,-7,0xb123,G8
76,88,79,200,-10,0xa123,G8
75,90,83,200,-7,0xb123,G8
73,87,88,200,-10,0xa123,G8
76,86,84,200,-7,0xb123,G8
84,91,84,200,-10,0xa123,G8
74,81,80,200,-7,0xb123,G8
75,86,83,200,-10,0xa123,H9
76,83,84,200,-7,0xb123,H9
81,88,84,200,-10,0xa123,H9
75,87,83,200,-7,0xb123,H9
83,86,91,200,-10,0xa123,H9
79,85,78,200,-7,0xb123,H9
86,81,82,200,-10,0xa123,H9
77,80,85,200,-7,0xb123,H9
82,87,82,200,-10,0xa123,H9
83,79,84,200,-7,0xb123,H9
78,85,85,200,-10,0xa123,H9
83,82,78,200,-7,0xb123,H9
88,78,88,200,-10,0xa123,H9
82,87,80,200,-7,0xb123,H9
80,82,82,200,-10,0xa123,H9
74,87,84,200,-7,0xb123,H9
77,88,83,200,-10,0xa123,H9
73,82,85,200,-7,0xb123,H9
85,83,85,200,-10,0xa123,H9
86,82,79,200,-7,0xb123,H9
85,84,83,200,-10,0xa123,H9
84,89,82,200,-7,0xb123,H9
79,80,81,200,-10,0xa123,H9
80,87,85,200,-7,0xb123,H9
79,78,81,200,-10,0xa123,H9
79,84,82,200,-7,0xb123,H9
83,82,81,200,-10,0xa123,H9
80,85,85,200,-7,0xb123,H9
77,85,87,200,-10,0xa123,H9
83,84,80,200,-7,0xb123,H9
77,85,81,200,-10,0xa123,H9
81,79,85,200,-7,0xb123,H9
84,88,83,200,-10,0xa123,H9
84,81,81,200,-7,0xb123,H9
79,91,85,200,-10,0xa123,H9
78,78,86,200,-7,0xb123,H9
75,90,85,200,-10,0xa123,H9
83,88,84,200,-7,0xb123,H9
81,88,85,200,-10,0xa123,H9
74,88,84,200,-7,0xb123,H9
75,86,83,200,-10,0xa123,H9
78,79,82,200,-7,0xb123,H9
77,84,88,200,-10,0xa123,H9
83,84,84,200,-7,0xb123,H9
69,89,89,200,-10,0xa123,H9
72,84,86,200,-7,0xb123,H9
69,81,84,200,-10,0xa123,H9
72,80,84,200,-7,0xb123,H9
85,86,84,200,-10,0xa123,H9
81,83,85,200,-7,0xb123,H9
86,89,85,200,-10,0xa123,H9
76,87,84,200,-7,0xb123,H9
83,83,81,200,-10,0xa123,H9
80,86,80,200,-7,0xb123,H9
85,79,83,200,-10,0xa123,H9
74,81,86,200,-7,0xb123,H9
86,83,85,200,-10,0xa123,H9
77,85,86,200,-7,0xb123,H9
80,82,86,200,-10,0xa123,H9
76,82,86,200,-7,0xb123,H9
82,84,85,200,-10,0xa123,H9
76,80,83,200,-7,0xb123,H9
78,90,85,200,-10,0xa123,H9
77,85,81,200,-7,0xb123,H9
84,85,83,200,-10,0xa123,H9
78,83,82,200,-7,0xb123,H9
85,80,83,200,-10,0xa123,H9
80,82,88,200,-7,0xb123,H9
78,89,84,200,-10,0xa123,H9
81,82,87,200,-7,0xb123,H9
72,82,88,200,-10,0xa123,H9
74,89,85,200,-7,0xb123,H9
84,81,81,200,-10,0xa123,H9
75,85,88,200,-7,0xb123,H9
